1 1.41421  0.346574 0.346574
461 2.55459e+52  65.9118 122.496
462 4.29045e+52  66.0314 122.496
463 4.69223e+52  66.1507 122.496
464 4.26928e+52  66.2694 122.496
465 8.31616e+52  66.3889 122.496
466 2.12345e+53  66.5099 122.79
467 3.68627e+53  66.6316 123.342
468 2.37591e+53  66.7519 123.342
469 1.17843e+53  66.8701 123.342
470 4.76846e+52  66.9859 123.342
471 4.55918e+52  67.1011 123.342
472 6.22748e+52  67.2165 123.342
473 5.47624e+52  67.3311 123.342
474 1.03847e+53  67.4466 123.342
475 2.68814e+53  67.5636 123.342
476 6.04568e+53  67.6818 123.836
477 4.68218e+53  67.799 123.836
478 3.56049e+53  67.9151 123.836
479 5.14993e+53  68.0316 123.836
480 1.27615e+54  68.1494 124.583
481 2.03239e+54  68.2677 125.049
482 1.33076e+54  68.3846 125.049
483 6.52206e+53  68.4996 125.049
484 3.99116e+53  68.613 125.049
485 7.55151e+53  68.7274 125.049
486 9.01923e+53  68.8416 125.049
487 6.23747e+53  68.9546 125.049
488 3.2148e+53  69.0657 125.049
489 4.05389e+53  69.1769 125.049
490 9.82128e+53  69.2895 125.049
491 1.67752e+54  69.4026 125.049
492 1.09274e+54  69.5145 125.049
493 6.27759e+53  69.6247 125.049
494 7.68371e+53  69.735 125.049
495 1.92473e+54  69.8466 125.049
496 4.36825e+54  69.9594 125.814
497 3.81652e+54  70.0715 125.814
498 2.86148e+54  70.1826 125.814
499 3.48575e+54  70.2937 125.814
500 8.67438e+54  70.4061 126.5
501 2.07672e+55  70.5198 127.373
502 2.45529e+55  70.6334 127.54
503 1.71518e+55  70.7458 127.54
504 1.36679e+55  70.8573 127.54
505 2.95023e+55  70.9699 127.724
506 7.57084e+55  71.0839 128.666
507 1.60617e+56  71.199 129.419
508 1.12102e+56  71.3129 129.419
509 7.61709e+55  71.4256 129.419
510 6.90562e+55  71.5376 129.419
511 1.62976e+56  71.6509 129.433
512 3.5586e+56  71.7653 130.214
513 2.60755e+56  71.8787 130.214
514 1.86902e+56  71.9909 130.214
515 2.2516e+56  72.1031 130.214
516 5.52018e+56  72.2165 130.653
517 9.80334e+56  72.3307 131.227
518 6.32279e+56  72.4435 131.227
519 3.34261e+56  72.5547 131.227
520 2.75939e+56  72.6651 131.227
521 6.24623e+56  72.7766 131.227
522 8.82234e+56  72.8884 131.227
523 5.98474e+56  72.999 131.227
524 5.06451e+56  73.1089 131.227
525 1.11977e+57  73.2198 131.36
526 2.80419e+57  73.3321 132.278
527 4.65713e+57  73.4449 132.786
528 3.03323e+57  73.5565 132.786
529 1.62362e+57  73.6665 132.786
530 1.51867e+57  73.7759 132.786
531 3.65412e+57  73.8866 132.786
532 8.4074e+57  73.9984 133.376
533 7.99213e+57  74.1097 133.376
534 5.92293e+57  74.2201 133.376
535 6.68291e+57  74.3302 133.376
536 1.63426e+58  74.4416 134.041
537 4.10574e+58  74.5543 134.962
538 7.08785e+58  74.6676 135.508
539 4.58236e+58  74.7797 135.508
540 2.60466e+58  74.8903 135.508
541 2.91397e+58  75.0007 135.508
542 7.2363e+58  75.1124 135.529
543 1.72259e+59  75.2252 136.396
544 2.04421e+59  75.338 136.568
545 1.41889e+59  75.4497 136.568
546 1.03189e+59  75.5603 136.568
547 2.06702e+59  75.6719 136.579
548 5.36754e+59  75.7848 137.533
549 1.35369e+60  75.8989 138.458
550 2.58699e+60  76.0139 139.106
551 1.6427e+60  76.1275 139.106
552 9.83994e+59  76.2399 139.106
553 7.102e+59  76.3512 139.106
554 1.57782e+60  76.4636 139.106
555 3.86281e+60  76.5772 139.507
556 5.61851e+60  76.691 139.881
557 3.72035e+60  76.8038 139.881
558 1.84399e+60  76.9148 139.881
559 8.4531e+59  77.0241 139.881
560 1.15923e+60  77.1335 139.881
561 2.92673e+60  77.2442 139.881
562 7.09164e+60  77.356 140.114
563 1.06522e+61  77.4682 140.521
564 7.07773e+60  77.5793 140.521
565 3.91063e+60  77.6889 140.521
566 4.4726e+60  77.7984 140.521
567 1.10038e+61  77.9091 140.553
568 2.81803e+61  78.021 141.494
569 6.68912e+61  78.1341 142.358
570 9.39092e+61  78.2474 142.697
571 6.30971e+61  78.3595 142.697
572 3.43568e+61  78.4703 142.697
573 3.78834e+61  78.5808 142.697
574 9.03739e+61  78.6924 142.697
575 2.03995e+62  78.8051 143.473
576 2.25716e+62  78.9175 143.574
577 1.56464e+62  79.0289 143.574
578 7.78638e+61  79.1388 143.574
579 4.81985e+61  79.2474 143.574
580 8.30848e+61  79.3566 143.574
581 1.34874e+62  79.4662 143.574
582 9.0895e+61  79.5748 143.574
583 7.5106e+61  79.6827 143.574
584 1.42094e+62  79.7913 143.574
585 3.51538e+62  79.9011 144.017
586 8.06605e+62  80.0119 144.848
587 1.02714e+63  80.1228 145.09
588 7.02552e+62  80.2326 145.09
589 3.82748e+62  80.3411 145.09
590 4.37622e+62  80.4494 145.09
591 9.92856e+62  80.5587 145.09
592 1.60823e+63  80.6684 145.538
593 1.04962e+63  80.7771 145.538
594 7.30079e+62  80.8848 145.538
595 1.16936e+63  80.9929 145.538
596 2.75733e+63  81.1021 146.077
597 5.10129e+63  81.212 146.692
598 3.26977e+63  81.3208 146.692
599 2.20372e+63  81.4285 146.692
600 2.2822e+63  81.5359 146.692
601 5.33153e+63  81.6444 146.736
602 1.22386e+64  81.7539 147.567
603 1.5771e+64  81.8635 147.821
604 1.07649e+64  81.972 147.821
605 5.98498e+63  82.0793 147.821
606 7.24002e+63  82.1865 147.821
607 1.63808e+64  82.2947 147.859
608 2.52673e+64  82.4032 148.292
609 1.67088e+64  82.5107 148.292
610 1.15994e+64  82.6173 148.292
611 1.90917e+64  82.7243 148.292
612 4.39476e+64  82.8324 148.846
613 7.02429e+64  82.9408 149.315
614 4.63035e+64  83.0483 149.315
615 3.44788e+64  83.1548 149.315
616 5.94209e+64  83.262 149.315
617 1.37524e+65  83.3701 149.987
618 2.28239e+65  83.4787 150.493
619 1.48697e+65  83.5863 150.493
620 1.1036e+65  83.693 150.493
621 1.83325e+65  83.8003 150.493
622 4.29982e+65  83.9085 151.127
623 7.79867e+65  84.0174 151.722
624 4.98733e+65  84.1251 151.722
625 3.43622e+65  84.232 151.722
626 4.14853e+65  84.3388 151.722
627 9.81607e+65  84.4466 151.952
628 2.14981e+66  84.5554 152.736
629 2.14649e+66  84.6638 152.736
630 1.50697e+66  84.7712 152.736
631 7.4158e+65  84.8773 152.736
632 4.46626e+65  84.9822 152.736
633 6.95177e+65  85.0874 152.736
634 8.39189e+65  85.1926 152.736
635 6.38559e+65  85.2971 152.736
636 6.08579e+65  85.4011 152.736
637 1.30081e+66  85.506 152.736
638 2.92261e+66  85.6119 153.043
639 3.882e+66  85.7179 153.327
640 2.67478e+66  85.8229 153.327
641 1.86628e+66  85.9271 153.327
642 3.2337e+66  86.0318 153.327
643 6.88405e+66  86.1373 153.9
644 7.02296e+66  86.2426 153.92
645 4.94696e+66  86.347 153.92
646 2.60819e+66  86.4501 153.92
647 2.76524e+66  86.5529 153.92
648 5.26356e+66  86.6564 153.92
649 3.65883e+66  86.759 153.92
650 2.50558e+66  86.8608 153.92
651 1.19669e+66  86.9611 153.92
652 7.42142e+65  87.0603 153.92
653 7.54416e+65  87.1593 153.92
654 6.87273e+65  87.2578 153.92
655 9.25373e+65  87.3565 153.92
656 2.06402e+66  87.4561 153.92
657 4.85666e+66  87.5567 153.92
658 9.00737e+66  87.6579 154.169
659 5.82817e+66  87.7582 154.169
660 4.02238e+66  87.8576 154.169
661 4.12588e+66  87.9567 154.169
662 9.52067e+66  88.0568 154.224
663 2.09855e+67  88.1578 155.014
664 2.17989e+67  88.2586 155.052
665 1.52423e+67  88.3585 155.052
666 7.42814e+66  88.457 155.052
667 3.32757e+66  88.554 155.052
668 2.46081e+66  88.6503 155.052
669 1.96975e+66  88.746 155.052
670 2.26838e+66  88.8416 155.052
671 3.59725e+66  88.9376 155.052
672 8.34338e+66  89.0345 155.052
673 1.81674e+67  89.1323 155.052
674 2.07178e+67  89.2301 155.052
675 1.45784e+67  89.327 155.052
676 9.01852e+66  89.4229 155.052
677 1.40519e+67  89.5192 155.052
678 2.84286e+67  89.6163 155.318
679 2.27267e+67  89.7127 155.318
680 1.60672e+67  89.8083 155.318
681 7.58234e+66  89.9026 155.318
682 3.77449e+66  89.9955 155.318
683 5.27245e+66  90.0887 155.318
