414 17.8741  2.15408 3.21362
415 17.301  2.15576 3.21362
416 24.6514  2.15828 3.21362
417 19.4537  2.16022 3.21362
418 16.6233  2.16178 3.21362
419 24.2579  2.16423 3.21362
420 21.0978  2.16634 3.21362
421 16.0909  2.16779 3.21362
422 23.7281  2.17016 3.21362
423 22.6522  2.1724 3.21362
424 15.7265  2.17378 3.21362
425 23.0878  2.17605 3.21362
426 24.0014  2.1784 3.21362
427 15.5604  2.17973 3.21362
428 22.35  2.18189 3.21362
429 25.0746  2.18432 3.22186
430 15.6483  2.18563 3.22186
431 21.5249  2.18768 3.22186
432 25.838  2.19015 3.25185
433 16.0692  2.1915 3.25185
434 20.6332  2.19343 3.25185
435 26.2857  2.1959 3.26902
436 16.8909  2.19735 3.26902
437 19.7145  2.19914 3.26902
438 26.4347  2.2016 3.27468
439 18.1193  2.20318 3.27468
440 18.8257  2.20484 3.27468
441 26.3211  2.20726 3.27468
442 19.67  2.20901 3.27468
443 18.0268  2.21055 3.27468
444 25.9928  2.21291 3.27468
445 21.3884  2.21482 3.27468
446 17.3646  2.21625 3.27468
447 25.4978  2.21854 3.27468
448 23.1004  2.22059 3.27468
449 16.8685  2.22194 3.27468
450 24.8727  2.22415 3.27468
451 24.6579  2.22632 3.27468
452 16.5625  2.22761 3.27468
453 24.1383  2.22972 3.27468
454 25.9593  2.23198 3.27468
455 16.4884  2.23323 3.27468
456 23.3059  2.23524 3.27468
457 26.9479  2.23756 3.2939
458 16.7171  2.23882 3.2939
459 22.3895  2.24072 3.2939
460 27.6019  2.24306 3.31788
461 17.3329  2.24438 3.31788
462 21.4189  2.24615 3.31788
463 27.9262  2.24849 3.32957
464 18.385  2.24992 3.32957
465 20.4449  2.25157 3.32957
466 27.9485  2.25389 3.33036
467 19.8397  2.25546 3.33036
468 19.5314  2.25699 3.33036
469 27.7138  2.25926 3.33036
470 21.5705  2.26099 3.33036
471 18.7375  2.26241 3.33036
472 27.2748  2.26462 3.33036
473 23.3981  2.2665 3.33036
474 18.1044  2.26783 3.33036
475 26.6785  2.26997 3.33036
476 25.1457  2.27197 3.33036
477 17.6577  2.27323 3.33036
478 25.9567  2.27529 3.33036
479 26.6769  2.27739 3.33036
480 17.4278  2.2786 3.33036
481 25.1261  2.28057 3.33036
482 27.9058  2.28274 3.33036
483 17.4712  2.28394 3.33036
484 24.1981  2.2858 3.33036
485 28.7899  2.28802 3.36003
486 17.8725  2.28924 3.36003
487 23.1932  2.291 3.36003
488 29.3195  2.29323 3.37825
489 18.7113  2.29453 3.37825
490 22.1525  2.29617 3.37825
491 29.5106  2.29838 3.38475
492 20.0069  2.2998 3.38475
493 21.1371  2.30132 3.38475
494 29.4015  2.30351 3.38475
495 21.6793  2.30507 3.38475
496 20.2148  2.30649 3.38475
497 29.045  2.30862 3.38475
498 23.5645  2.31033 3.38475
499 19.4408  2.31165 3.38475
500 28.4961  2.31372 3.38475
501 25.468  2.31557 3.38475
502 18.8497  2.31681 3.38475
503 27.7985  2.31881 3.38475
504 27.2185  2.32076 3.38475
505 18.4673  2.32194 3.38475
506 26.9785  2.32387 3.38475
507 28.6951  2.3259 3.38475
508 18.3347  2.32705 3.38475
509 26.0497  2.32888 3.38475
510 29.8286  2.33097 3.39547
511 18.5252  2.33213 3.39547
512 25.0265  2.33386 3.39547
513 30.5905  2.33598 3.42069
514 19.1313  2.33718 3.42069
515 23.9388  2.3388 3.42069
516 30.9829  2.34092 3.43344
517 20.2165  2.34221 3.43344
518 22.8397  2.34373 3.43344
519 31.0336  2.34583 3.43507
520 21.7585  2.34724 3.43507
521 21.7989  2.34865 3.43507
522 30.7909  2.35072 3.43507
523 23.6304  2.35227 3.43507
524 20.8841  2.35358 3.43507
525 30.3135  2.3556 3.43507
526 25.6382  2.35729 3.43507
527 20.144  2.35851 3.43507
528 29.6558  2.36047 3.43507
529 27.5823  2.36227 3.43507
530 19.6084  2.36343 3.43507
531 28.8564  2.36531 3.43507
532 29.3035  2.36722 3.43507
533 19.3074  2.36833 3.43507
534 27.9363  2.37013 3.43507
535 30.6991  2.3721 3.43507
536 19.2976  2.3732 3.43507
537 26.9081  2.37491 3.43507
538 31.7164  2.37692 3.45683
539 19.6677  2.37804 3.45683
540 25.7924  2.37965 3.45683
541 32.3403  2.38168 3.47631
542 20.5092  2.38286 3.47631
543 24.6306  2.38437 3.47631
544 32.5854  2.38639 3.48386
545 21.8562  2.38767 3.48386
546 23.4877  2.38908 3.48386
547 32.4912  2.39108 3.48386
548 23.6371  2.39249 3.48386
549 22.4385  2.39379 3.48386
550 32.1149  2.39575 3.48386
551 25.6815  2.39729 3.48386
552 21.5471  2.39851 3.48386
553 31.5183  2.40041 3.48386
554 27.7758  2.40208 3.48386
555 20.8546  2.40323 3.48386
556 30.7528  2.40507 3.48386
557 29.7246  2.40684 3.48386
558 20.3889  2.40793 3.48386
559 29.8506  2.4097 3.48386
560 31.3859  2.41155 3.48386
561 20.1902  2.4126 3.48386
562 28.8286  2.41429 3.48386
563 32.6761  2.4162 3.48664
564 20.3327  2.41725 3.48664
565 27.7013  2.41885 3.48664
566 33.5583  2.42079 3.51328
567 20.9164  2.42188 3.51328
568 26.4984  2.42339 3.51328
569 34.0311  2.42533 3.52728
570 22.0194  2.4265 3.52728
571 25.2745  2.4279 3.52728
572 34.1217  2.42983 3.52993
573 23.6334  2.43111 3.52993
574 24.1045  2.43242 3.52993
575 33.8808  2.43431 3.52993
576 25.635  2.43572 3.52993
577 23.0644  2.43694 3.52993
578 33.3725  2.43879 3.52993
